ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,ALIAS,DESCRIPTION,NAME,PARENTBUSINESSMODULEID
1,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,SERVICE_MANAGEMENT,Service Management,Service Management,1
3,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,CHANGE_PASSWORD_MANAGEMENT,Change Password Management,Change Password Management,2
4,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,SYSTEM_PARAMETER_MANAGEMENT,System Parameter Management,System Parameter Management,3
5,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,STAFF_AUDIT_MANAGEMENT,Staff Audit Management,Staff Audit Management,4
6,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,DEVICE_ATTRIBUTE_MANAGER_MENU_VIEW,Device Attribute Configuration,Server Manager,1
9,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,SERVER_MANAGEMENT,Server Management,Server Management,5
10,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,DEVICE_MANAGEMENT,Device Management,Device Management,6
11,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,DEVICE_ATTRIBUTE_MANAGEMENT,Device Attribute Management,Device Attribute Management,6
12,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,EMS_VIEW,EMS View Management,EMS View Management,7
13,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,SNMP_SERVER,SNMP server Config,SNMP server Config,8
14,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,SNMP_CLIENT,SNMP Client Config,SNMP Client Config,8
15,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,ALERT_LIST,Alert List,Alert List,8
17,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,APPLY_FULL_LICENSE,Apply/Renew Full License,Apply/Renew Full License,10
20,1,2016-07-12 10:29:20.0000,3,2016-07-12 10:29:20.0000,ACTIVE,UPDATE_PROFILE,Update Profile,Update Profile,13
